Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Measurements,Lab,Price,Product_url
2036178, HEART,0.8, VVS2, G, EX, EX, VG, N, 5.48-6.41×3.75, GIA,"$3,103.17",https://capitalwholesalediamonds.com/product/0-8-ct-heart-9/
2070850, HEART,0.73, VS2, G, EX, EX, EX, N, 5.30-6.27×3.70, GIA,"$3,107.00",https://capitalwholesalediamonds.com/product/0-73-ct-heart-32/
2079698, HEART,0.71, VVS2, F, GD, EX, VG, N, 4.92-5.98×3.71, GIA,"$3,107.85",https://capitalwholesalediamonds.com/product/0-71-ct-heart-28/
2098856, HEART,0.75, SI1, E, EX, EX, VG, N, 5.25-6.20×3.74, GIA,"$3,108.63",https://capitalwholesalediamonds.com/product/0-75-ct-heart-63/
 220469-57, HEART,1.01, SI2, G, EX, EX, EX, M, 5.99-6.75×4.10, GIA,"$3,109.08",https://capitalwholesalediamonds.com/product/1-01-ct-heart-73/
 220267-395, HEART,1.01, SI2, G, EX, EX, VG, N, 5.84-6.89×4.13, GIA,"$3,110.66",https://capitalwholesalediamonds.com/product/1-01-ct-heart-39/
2100944, HEART,0.71, VVS2, F, EX, EX, VG, M, 5.14-6.07×3.67, GIA,"$3,111.73",https://capitalwholesalediamonds.com/product/0-71-ct-heart-50/
2067172, HEART,0.73, VVS2, H, EX, EX, EX, N, 5.54-6.13×3.70, GIA,"$3,111.86",https://capitalwholesalediamonds.com/product/0-73-ct-heart-11/
2137139, HEART,0.7, VVS2, E, EX, EX, VG, F, 5.18-6.08×3.69, GIA,"$3,113.01",https://capitalwholesalediamonds.com/product/0-7-ct-heart-793/
 220566-570, HEART,1, SI2, F, VG, VG, VG, N, 5.66-6.85×4.19, IGI,"$3,113.50",https://capitalwholesalediamonds.com/product/1-ct-heart-331/
 223463-735, HEART,1, SI2, F, EX, EX, EX, N, 5.91-6.98×4.08, IGI,"$3,113.50",https://capitalwholesalediamonds.com/product/1-ct-heart-359/
2069735, HEART,0.76, VVS1, H, EX, VG, EX, N, 5.39-6.32×3.74, GIA,"$3,114.07",https://capitalwholesalediamonds.com/product/0-76-ct-heart-9/
2116950, HEART,0.7, VS1, E, EX, EX, VG, N, 5.42-6.08×3.50, GIA,"$3,115.61",https://capitalwholesalediamonds.com/product/0-7-ct-heart-213/
 220183-88, HEART,1, I1, E, EX, EX, VG, F, 5.75-6.73×4.01, GIA,"$3,116.88",https://capitalwholesalediamonds.com/product/1-ct-heart-47/
2049887, HEART,0.7, VS1, E, EX, EX, EX, N, 5.24-6.09×3.61, GIA,"$3,117.79",https://capitalwholesalediamonds.com/product/0-7-ct-heart-94/
2047399, HEART,0.7, VS2, D, EX, EX, VG, N, 5.43-5.93×3.54, GIA,"$3,117.89",https://capitalwholesalediamonds.com/product/0-7-ct-heart-546/
2104112, HEART,0.7, VS1, G, EX, EX, EX, N, 5.28-6.15×3.62, GIA,"$3,117.90",https://capitalwholesalediamonds.com/product/0-7-ct-heart-219/
2116939, HEART,0.8, SI1, G, EX, EX, EX, N, 5.45-6.47×3.79, GIA,"$3,118.70",https://capitalwholesalediamonds.com/product/0-8-ct-heart-56/
2112855, HEART,0.72, VS2, G, EX, EX, EX, N, 5.55-6.12×3.70, GIA,"$3,118.96",https://capitalwholesalediamonds.com/product/0-72-ct-heart-108/
2125620, HEART,0.7, SI1, D, EX, EX, EX, N, 5.22-6.19×3.73, GIA,"$3,119.84",https://capitalwholesalediamonds.com/product/0-7-ct-heart-720/
2137133, HEART,0.8, VS2, F, VG, EX, VG, F, 5.28-6.36×3.90, GIA,"$3,120.00",https://capitalwholesalediamonds.com/product/0-8-ct-heart-120/
2068348, HEART,0.74, VVS1, H, EX, VG, EX, F, 5.31-6.30×3.68, GIA,"$3,124.44",https://capitalwholesalediamonds.com/product/0-74-ct-heart-3/
2081709, HEART,0.72, VS2, F, EX, EX, VG, N, 5.45-6.34×3.42, GIA,"$3,125.25",https://capitalwholesalediamonds.com/product/0-72-ct-heart-142/
2104107, HEART,0.75, VS1, D, EX, EX, EX, M, 5.33-6.17×3.74, GIA,"$3,126.91",https://capitalwholesalediamonds.com/product/0-75-ct-heart-23/
2104106, HEART,0.7, VVS1, G, GD, EX, EX, N, 5.01-6.07×3.82, GIA,"$3,126.97",https://capitalwholesalediamonds.com/product/0-7-ct-heart-701/
2105065, HEART,0.91, SI2, F, EX, EX, VG, N, 5.87-6.66×3.92, GIA,"$3,127.30",https://capitalwholesalediamonds.com/product/0-91-ct-heart-30/
2089842, HEART,0.7, VVS2, G, VG, EX, VG, N, 5.08-6.08×3.75, GIA,"$3,129.05",https://capitalwholesalediamonds.com/product/0-7-ct-heart-653/
2003743, HEART,0.71, VVS2, E, EX, VG, VG, N, 5.26-6.20×3.69, GIA,"$3,129.77",https://capitalwholesalediamonds.com/product/0-71-ct-heart-9/
2121396, HEART,0.7, IF, F, EX, EX, VG, F, 5.50-6.46×3.49, GIA,"$3,130.17",https://capitalwholesalediamonds.com/product/0-7-ct-heart-197/
2112853, HEART,0.7, VS2, E, EX, EX, EX, N, 5.17-6.13×3.63, GIA,"$3,131.62",https://capitalwholesalediamonds.com/product/0-7-ct-heart-194/
2019993, HEART,0.8, VS2, E, EX, EX, VG, F, 5.62-6.59×3.57, GIA,"$3,131.83",https://capitalwholesalediamonds.com/product/0-8-ct-heart-84/
 223477-138, HEART,1.02, SI2, G, EX, EX, EX, N, 5.92-6.90×4.18, IGI,"$3,131.88",https://capitalwholesalediamonds.com/product/1-02-ct-heart-28/
2096299, HEART,0.71, VS1, E, EX, EX, EX, F, 5.51-6.15×3.64, GIA,"$3,132.22",https://capitalwholesalediamonds.com/product/0-71-ct-heart-48/
2128869, HEART,0.8, VS1, H, EX, EX, VG, F, 5.87-6.57×3.70, GIA,"$3,133.28",https://capitalwholesalediamonds.com/product/0-8-ct-heart-40/
2006204, HEART,0.9, SI1, H, EX, EX, EX, N, 5.64-6.54×3.88, GIA,"$3,134.58",https://capitalwholesalediamonds.com/product/0-9-ct-heart-11/
2114661, HEART,0.71, VS2, E, EX, EX, EX, N, 5.30-6.08×3.69, GIA,"$3,134.84",https://capitalwholesalediamonds.com/product/0-71-ct-heart-127/
2076559, HEART,0.7, VS1, G, EX, EX, EX, F, 5.28-6.23×3.51, GIA,"$3,135.03",https://capitalwholesalediamonds.com/product/0-7-ct-heart-591/
2052103, HEART,0.73, VS2, F, EX, EX, VG, N, 5.67-6.20×3.42, GIA,"$3,135.58",https://capitalwholesalediamonds.com/product/0-73-ct-heart-9/
