Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Measurements,Lab,Price,Product_url
 2116878, CUSHION, 0.7, VS1, G, EX, EX, EX, F, 5.34-4.80×3.17, GIA,"$2,543.19",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-211/
 2115698, CUSHION, 0.7, VS1, E, VG, EX, VG, F, 4.93-4.78×3.43, GIA,"$2,543.40",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-417/
 2122362, CUSHION, 0.7, VS1, E, EX, EX, VG, N, 4.93-4.89×3.38, GIA,"$2,543.40",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-632/
 2099776, CUSHION, 0.7, VVS2, H, EX, EX, VG, N, 5.02-4.78×3.30, GIA,"$2,544.47",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-196/
 2032694, CUSHION, 0.7, VS2, F, EX, EX, EX, N, 5.50-4.65×3.15, GIA,"$2,545.63",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-329/
 2129752, CUSHION, 0.7, VS1, G, EX, EX, EX, N, 4.94-4.88×3.40, GIA,"$2,545.63",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-664/
 2132822, CUSHION, 0.72, VVS2, E, EX, EX, GD, M, 5.64-4.79×3.12, GIA,"$2,545.66",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-205/
 2138873, CUSHION, 0.72, VS1, G, EX, EX, VG, N, 5.64-4.71×3.18, GIA,"$2,545.68",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-230/
 2116871, CUSHION, 0.72, VVS2, H, EX, EX, VG, N, 5.24-4.82×3.35, GIA,"$2,546.02",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-60/
 2118011, CUSHION, 0.7, VS1, H, EX, EX, VG, N, 5.01-4.95×3.36, GIA,"$2,546.67",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-180/
 2004621, CUSHION, 0.81, VVS1, H, EX, EX, VG, F, 5.80-5.01×3.40, GIA,"$2,547.07",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-69/
 2072267, CUSHION, 0.72, VS1, G, EX, EX, VG, N, 5.06-4.80×3.33, GIA,"$2,547.19",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-36/
 2036989, CUSHION, 0.7, VS1, F, EX, EX, EX, N, 5.52-4.65×3.15, GIA,"$2,547.77",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-44/
 2082566, CUSHION, 0.7, VS2, F, EX, EX, VG, N, 5.49-4.76×3.21, GIA,"$2,548.08",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-504/
