Product_id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Product_url
 2128741, CUSHION, 0.81, VS2, L, EX, EX, EX, VG, M,"$1,378.13",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-48/
 2049532, CUSHION, 0.75, VS2, J, EX, EX, EX, VG, ST,"$1,378.29",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-66/
 2103968, CUSHION, 0.7, VS2, K, EX, EX, EX, VG, F,"$1,378.44",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-628/
 2127681, CUSHION, 0.52, VS2, H, EX, EX, EX, EX, N,"$1,378.89",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-61/
 2110102, CUSHION, 0.5, SI1, D, EX, EX, EX, VG, N,"$1,379.06",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-248/
 2068177, CUSHION, 0.51, VS2, D, VG, EX, EX, VG, F,"$1,379.17",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-228/
 2089744, CUSHION, 0.72, SI1, K, EX, EX, EX, EX, F,"$1,379.17",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-177/
 2100840, CUSHION, 0.5, VS1, F, EX, EX, EX, VG, F,"$1,381.61",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-258/
 2064622, CUSHION, 0.5, VS1, G, EX, EX, EX, VG, F,"$1,383.38",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-215/
 2124356, CUSHION, 0.51, VVS2, H, EX, EX, EX, VG, N,"$1,385.00",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-153/
 2110094, CUSHION, 0.5, VS2, F, EX, EX, EX, VG, N,"$1,385.11",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-136/
 2121324, CUSHION, 0.5, VS2, F, EX, EX, EX, VG, N,"$1,385.83",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-287/
 2086291, CUSHION, 0.5, SI1, D, EX, EX, EX, EX, N,"$1,385.90",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-251/
 2132885, CUSHION, 0.52, VS1, H, EX, EX, EX, VG, N,"$1,386.35",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-106/
 2064628, CUSHION, 0.51, VS2, E, EX, EX, EX, VG, N,"$1,386.63",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-226/
