Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Product_url
2118532, PRINCESS,0.5, VS1, L, VG, EX, VG, F,"$1,019.95",https://capitalwholesalediamonds.com/product/0-5-ct-princess-104/
2123003, PRINCESS,0.51, SI2, L, EX, EX, EX, N,"$1,021.22",https://capitalwholesalediamonds.com/product/0-51-ct-princess-148/
2117390, PRINCESS,0.5, VS2, L, VG, EX, VG, F,"$1,024.99",https://capitalwholesalediamonds.com/product/0-5-ct-princess-369/
2084078, PRINCESS,0.5, SI2, K, VG, EX, VG, N,"$1,025.00",https://capitalwholesalediamonds.com/product/0-5-ct-princess-598/
2060083, PRINCESS,0.5, VS2, K, VG, EX, GD, N,"$1,026.76",https://capitalwholesalediamonds.com/product/0-5-ct-princess-525/
2137567, PRINCESS,0.5, VVS1, M, VG, EX, GD, F,"$1,027.54",https://capitalwholesalediamonds.com/product/0-5-ct-princess-813/
2088695, PRINCESS,0.5, VS2, K, GD, EX, VG, F,"$1,032.59",https://capitalwholesalediamonds.com/product/0-5-ct-princess-615/
2092773, PRINCESS,0.5, SI1, K, VG, EX, VG, F,"$1,035.97",https://capitalwholesalediamonds.com/product/0-5-ct-princess-628/
2117391, PRINCESS,0.5, VS2, L, VG, VG, GD, N,"$1,036.04",https://capitalwholesalediamonds.com/product/0-5-ct-princess-473/
2094919, PRINCESS,0.5, VS2, K, GD, EX, VG, F,"$1,039.43",https://capitalwholesalediamonds.com/product/0-5-ct-princess-88/
2012130, PRINCESS,0.5, VVS1, K, VG, VG, VG, F,"$1,046.18",https://capitalwholesalediamonds.com/product/0-5-ct-princess-13/
2051256, PRINCESS,0.5, VS1, K, VG, EX, VG, ST,"$1,047.80",https://capitalwholesalediamonds.com/product/0-5-ct-princess-223/
2090206, PRINCESS,0.51, VS2, K, EX, EX, VG, F,"$1,050.99",https://capitalwholesalediamonds.com/product/0-51-ct-princess-38/
2130340, PRINCESS,0.51, VS1, L, EX, EX, VG, N,"$1,051.91",https://capitalwholesalediamonds.com/product/0-51-ct-princess-180/
2108668, PRINCESS,0.5, SI2, K, EX, VG, VG, N,"$1,052.03",https://capitalwholesalediamonds.com/product/0-5-ct-princess-676/
2060082, PRINCESS,0.5, VS2, K, EX, EX, GD, F,"$1,052.11",https://capitalwholesalediamonds.com/product/0-5-ct-princess-43/
2028165, PRINCESS,0.5, VS1, K, VG, EX, GD, N,"$1,052.13",https://capitalwholesalediamonds.com/product/0-5-ct-princess-485/
2078251, PRINCESS,0.5, SI1, K, EX, EX, GD, N,"$1,052.89",https://capitalwholesalediamonds.com/product/0-5-ct-princess-319/
2118553, PRINCESS,0.5, SI1, K, VG, EX, GD, N,"$1,057.15",https://capitalwholesalediamonds.com/product/0-5-ct-princess-404/
2111945, PRINCESS,0.5, VVS1, M, EX, EX, VG, N,"$1,057.20",https://capitalwholesalediamonds.com/product/0-5-ct-princess-244/
2063820, PRINCESS,0.5, VS1, K, VG, EX, GD, F,"$1,058.89",https://capitalwholesalediamonds.com/product/0-5-ct-princess-310/
2097322, PRINCESS,0.51, VS2, L, EX, EX, VG, N,"$1,060.13",https://capitalwholesalediamonds.com/product/0-51-ct-princess-126/
2076014, PRINCESS,0.5, SI1, K, EX, EX, VG, N,"$1,060.58",https://capitalwholesalediamonds.com/product/0-5-ct-princess-339/
2080863, PRINCESS,0.52, SI2, I, EX, EX, VG, N,"$1,061.06",https://capitalwholesalediamonds.com/product/0-52-ct-princess-39/
2120633, PRINCESS,0.51, VS2, K, VG, EX, VG, N,"$1,062.67",https://capitalwholesalediamonds.com/product/0-51-ct-princess-81/
2083082, PRINCESS,0.5, SI1, K, VG, VG, VG, N,"$1,064.72",https://capitalwholesalediamonds.com/product/0-5-ct-princess-340/
2033515, PRINCESS,0.5, VS1, K, VG, EX, GD, N,"$1,068.08",https://capitalwholesalediamonds.com/product/0-5-ct-princess-273/
2133455, PRINCESS,0.5, VS2, K, VG, EX, GD, F,"$1,068.08",https://capitalwholesalediamonds.com/product/0-5-ct-princess-778/
2128156, PRINCESS,0.51, VVS2, L, EX, EX, VG, N,"$1,070.92",https://capitalwholesalediamonds.com/product/0-51-ct-princess-92/
2058628, PRINCESS,0.5, VS2, K, EX, EX, VG, F,"$1,071.51",https://capitalwholesalediamonds.com/product/0-5-ct-princess-304/
2099229, PRINCESS,0.5, VS2, K, VG, VG, VG, N,"$1,074.92",https://capitalwholesalediamonds.com/product/0-5-ct-princess-654/
2117395, PRINCESS,0.5, SI1, K, VG, EX, VG, F,"$1,075.72",https://capitalwholesalediamonds.com/product/0-5-ct-princess-126/
2123803, PRINCESS,0.5, SI1, J, VG, EX, VG, F,"$1,076.60",https://capitalwholesalediamonds.com/product/0-5-ct-princess-202/
2075312, PRINCESS,0.51, VVS2, L, EX, EX, VG, N,"$1,076.73",https://capitalwholesalediamonds.com/product/0-51-ct-princess-121/
2060081, PRINCESS,0.5, VS2, K, EX, EX, VG, N,"$1,081.65",https://capitalwholesalediamonds.com/product/0-5-ct-princess-516/
2130350, PRINCESS,0.5, SI1, K, VG, EX, VG, N,"$1,082.46",https://capitalwholesalediamonds.com/product/0-5-ct-princess-772/
2103464, PRINCESS,0.5, VS2, K, VG, EX, GD, N,"$1,085.06",https://capitalwholesalediamonds.com/product/0-5-ct-princess-366/
2062511, PRINCESS,0.59, SI2, K, VG, EX, VG, N,"$1,088.28",https://capitalwholesalediamonds.com/product/0-59-ct-princess-65/
2131336, PRINCESS,0.5, VS1, K, VG, EX, GD, F,"$1,088.36",https://capitalwholesalediamonds.com/product/0-5-ct-princess-806/
2117378, PRINCESS,0.51, VS1, K, EX, EX, GD, M,"$1,088.38",https://capitalwholesalediamonds.com/product/0-51-ct-princess-61/
2105581, PRINCESS,0.52, VVS2, L, EX, EX, EX, F,"$1,092.29",https://capitalwholesalediamonds.com/product/0-52-ct-princess-20/
2102424, PRINCESS,0.5, SI1, K, EX, EX, VG, F,"$1,092.64",https://capitalwholesalediamonds.com/product/0-5-ct-princess-672/
2028194, PRINCESS,0.5, SI1, J, VG, EX, VG, N,"$1,093.48",https://capitalwholesalediamonds.com/product/0-5-ct-princess-267/
2080043, PRINCESS,0.5, VS2, K, VG, EX, VG, N,"$1,096.86",https://capitalwholesalediamonds.com/product/0-5-ct-princess-591/
2099228, PRINCESS,0.5, VS2, K, VG, EX, VG, F,"$1,097.74",https://capitalwholesalediamonds.com/product/0-5-ct-princess-128/
2099230, PRINCESS,0.5, VS2, K, VG, EX, GD, N,"$1,097.74",https://capitalwholesalediamonds.com/product/0-5-ct-princess-179/
2108660, PRINCESS,0.51, VS2, K, EX, EX, VG, N,"$1,098.22",https://capitalwholesalediamonds.com/product/0-51-ct-princess-60/
2093975, PRINCESS,0.5, VS1, K, VG, EX, GD, F,"$1,098.50",https://capitalwholesalediamonds.com/product/0-5-ct-princess-94/
2115187, PRINCESS,0.5, VS2, K, EX, EX, VG, F,"$1,099.40",https://capitalwholesalediamonds.com/product/0-5-ct-princess-694/
2132043, PRINCESS,0.5, VS1, K, VG, EX, VG, M,"$1,101.07",https://capitalwholesalediamonds.com/product/0-5-ct-princess-815/
2086713, PRINCESS,0.5, SI1, K, EX, VG, VG, F,"$1,101.98",https://capitalwholesalediamonds.com/product/0-5-ct-princess-351/
2130332, PRINCESS,0.5, VVS2, K, VG, EX, VG, M,"$1,102.79",https://capitalwholesalediamonds.com/product/0-5-ct-princess-809/
2110809, PRINCESS,0.5, VS2, K, VG, EX, VG, N,"$1,103.57",https://capitalwholesalediamonds.com/product/0-5-ct-princess-193/
2102414, PRINCESS,0.51, VS1, K, EX, EX, GD, F,"$1,104.03",https://capitalwholesalediamonds.com/product/0-51-ct-princess-77/
2083079, PRINCESS,0.5, VS2, K, VG, EX, VG, N,"$1,105.34",https://capitalwholesalediamonds.com/product/0-5-ct-princess-75/
2040700, PRINCESS,0.5, VVS2, K, GD, EX, GD, N,"$1,105.38",https://capitalwholesalediamonds.com/product/0-5-ct-princess-498/
2102419, PRINCESS,0.5, VS2, K, EX, EX, VG, N,"$1,106.11",https://capitalwholesalediamonds.com/product/0-5-ct-princess-182/
2050291, PRINCESS,0.5, VS2, K, VG, EX, VG, N,"$1,107.00",https://capitalwholesalediamonds.com/product/0-5-ct-princess-524/
2040744, PRINCESS,0.5, SI2, E, EX, VG, F, N,"$1,107.96",https://capitalwholesalediamonds.com/product/0-5-ct-princess-5/
2087480, PRINCESS,0.52, VS2, K, EX, EX, VG, F,"$1,109.21",https://capitalwholesalediamonds.com/product/0-52-ct-princess-40/
2129339, PRINCESS,0.5, VS2, K, VG, VG, VG, N,"$1,109.54",https://capitalwholesalediamonds.com/product/0-5-ct-princess-208/
2086704, PRINCESS,0.5, VS2, K, VG, EX, VG, F,"$1,111.18",https://capitalwholesalediamonds.com/product/0-5-ct-princess-602/
2087481, PRINCESS,0.5, VS2, K, VG, EX, VG, N,"$1,111.18",https://capitalwholesalediamonds.com/product/0-5-ct-princess-612/
2117379, PRINCESS,0.5, VS1, K, GD, EX, VG, N,"$1,113.78",https://capitalwholesalediamonds.com/product/0-5-ct-princess-173/
2130351, PRINCESS,0.59, SI1, L, EX, EX, VG, F,"$1,114.13",https://capitalwholesalediamonds.com/product/0-59-ct-princess-96/
2115176, PRINCESS,0.5, VVS2, K, GD, EX, GD, N,"$1,115.43",https://capitalwholesalediamonds.com/product/0-5-ct-princess-462/
2117388, PRINCESS,0.5, VS2, K, EX, EX, VG, N,"$1,116.25",https://capitalwholesalediamonds.com/product/0-5-ct-princess-150/
2128173, PRINCESS,0.5, VS2, K, VG, EX, VG, N,"$1,116.25",https://capitalwholesalediamonds.com/product/0-5-ct-princess-254/
2096550, PRINCESS,0.5, VVS2, K, VG, VG, F, F,"$1,119.74",https://capitalwholesalediamonds.com/product/0-5-ct-princess-633/
2129343, PRINCESS,0.51, SI1, K, EX, EX, VG, N,"$1,120.70",https://capitalwholesalediamonds.com/product/0-51-ct-princess-93/
2100302, PRINCESS,0.51, SI1, K, EX, EX, EX, F,"$1,122.32",https://capitalwholesalediamonds.com/product/0-51-ct-princess-45/
2118517, PRINCESS,0.6, VVS2, M, EX, EX, GD, N,"$1,127.51",https://capitalwholesalediamonds.com/product/0-6-ct-princess-5/
2122988, PRINCESS,0.6, VVS2, N, EX, EX, VG, N,"$1,127.51",https://capitalwholesalediamonds.com/product/0-6-ct-princess-15/
2117389, PRINCESS,0.5, VS2, K, VG, EX, GD, N,"$1,128.16",https://capitalwholesalediamonds.com/product/0-5-ct-princess-138/
2082185, PRINCESS,0.5, VS1, K, VG, EX, VG, M,"$1,133.25",https://capitalwholesalediamonds.com/product/0-5-ct-princess-329/
2117367, PRINCESS,0.53, VVS2, L, EX, VG, VG, N,"$1,133.81",https://capitalwholesalediamonds.com/product/0-53-ct-princess-6/
2044333, PRINCESS,0.53, VVS2, K, EX, EX, VG, F,"$1,138.04",https://capitalwholesalediamonds.com/product/0-53-ct-princess/
2083078, PRINCESS,0.5, VS2, K, EX, EX, EX, F,"$1,138.30",https://capitalwholesalediamonds.com/product/0-5-ct-princess-87/
2084073, PRINCESS,0.5, SI1, J, VG, VG, VG, F,"$1,138.35",https://capitalwholesalediamonds.com/product/0-5-ct-princess-344/
2117377, PRINCESS,0.51, VS1, K, VG, EX, VG, N,"$1,139.69",https://capitalwholesalediamonds.com/product/0-51-ct-princess-166/
2066550, PRINCESS,0.5, SI2, J, VG, EX, GD, ST,"$1,140.82",https://capitalwholesalediamonds.com/product/0-5-ct-princess-298/
2118512, PRINCESS,0.5, VVS1, L, VG, VG, VG, N,"$1,140.83",https://capitalwholesalediamonds.com/product/0-5-ct-princess-154/
2118546, PRINCESS,0.5, VS2, K, EX, EX, VG, F,"$1,140.83",https://capitalwholesalediamonds.com/product/0-5-ct-princess-174/
2107119, PRINCESS,0.5, VS2, J, FG, EX, VG, F,"$1,143.32",https://capitalwholesalediamonds.com/product/0-5-ct-princess-116/
2120634, PRINCESS,0.5, VS2, K, EX, EX, VG, N,"$1,145.03",https://capitalwholesalediamonds.com/product/0-5-ct-princess-683/
2096551, PRINCESS,0.5, VVS2, K, VG, EX, GD, F,"$1,145.89",https://capitalwholesalediamonds.com/product/0-5-ct-princess-375/
2118511, PRINCESS,0.5, VVS1, K, FG, EX, GD, N,"$1,147.63",https://capitalwholesalediamonds.com/product/0-5-ct-princess-140/
2082159, PRINCESS,0.5, VVS2, J, VG, EX, VG, M,"$1,148.42",https://capitalwholesalediamonds.com/product/0-5-ct-princess-68/
2101230, PRINCESS,0.5, VS1, K, VG, EX, GD, F,"$1,149.20",https://capitalwholesalediamonds.com/product/0-5-ct-princess-376/
2139177, PRINCESS,0.5, SI1, I, VG, EX, VG, F,"$1,150.05",https://capitalwholesalediamonds.com/product/0-5-ct-princess-824/
2107033, PRINCESS,0.5, VVS1, L, EX, EX, VG, ST,"$1,150.10",https://capitalwholesalediamonds.com/product/0-5-ct-princess-129/
2033514, PRINCESS,0.5, VS1, K, EX, EX, VG, N,"$1,151.77",https://capitalwholesalediamonds.com/product/0-5-ct-princess-493/
2061402, PRINCESS,0.59, VS2, K, VG, EX, VG, N,"$1,154.37",https://capitalwholesalediamonds.com/product/0-59-ct-princess-64/
